معرف_الرحلة,معرف_السائق,مؤشر_القيادة_الآمنة,تصنيف_السائق,مدة_الرحلة_دقيقة,متوسط_السرعة,أقصى_سرعة,عدد_الفرملات_الحادة,عدد_التسارعات_الحادة,عدد_تغييرات_المسار,نسبة_السرعة_الزائدة,متوسط_الازدحام,نوع_الطريق,نوع_السائق_الفعلي,وقت_اليوم,الطقس,التوصية
a00ff50e,826a85ec,0.0,خطر,28.0,20.49,52.0,266,106,15,11.67,0.659,حي سكني,متهور,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
266c34e4,dda69996,0.0,خطر,24.0,92.71,130.18,62,6,5,1.11,0.082,طريق سريع,معتدل,منتصف الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
1fd59368,2512977b,49.51,خطر,21.0,38.37,52.0,5,0,2,39.6,0.158,حي سكني,آمن,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a3e14341,dfb12c1e,0.0,خطر,58.0,65.56,101.14,155,40,6,11.29,0.207,طريق رئيسي,معتدل,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0b9c715c,7912f3c3,0.0,خطر,50.0,72.08,104.0,130,23,6,27.5,0.391,طريق رئيسي,معتدل,منتصف النهار,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
afd5ffe6,f39b3add,0.0,خطر,60.0,36.82,78.0,642,268,32,8.81,0.175,شارع داخلي,متهور,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
14f5e990,7d82f704,0.0,خطر,25.0,44.14,104.0,315,181,23,6.73,0.346,طريق رئيسي,مشتت,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8a10f03f,07d0b8b7,92.63,آمن,7.0,69.43,86.6,1,0,1,3.81,0.231,طريق رئيسي,آمن,الليل,عاصفة رملية,ممتاز! استمر على هذا الأداء
44041728,65097f71,0.0,خطر,60.0,85.98,103.48,22,0,1,90.97,0.847,طريق رئيسي,آمن,ساعة الذروة المسائية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
fc77c76b,266bf080,0.0,خطر,57.0,38.75,78.0,153,36,13,3.65,0.96,شارع داخلي,معتدل,ساعة الذروة المسائية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
f83ef215,9ac0ca44,0.0,خطر,31.0,96.1,128.96,73,18,5,1.67,0.469,طريق سريع,معتدل,ساعة الذروة المسائية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c32bae27,9c7b16db,56.43,معتدل,24.0,36.23,50.28,9,0,2,19.65,0.647,حي سكني,آمن,ساعة الذروة المسائية,عاصفة رملية,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
7e43815e,5dd4e27f,0.0,خطر,33.0,76.96,154.6,412,238,25,3.59,0.217,طريق سريع,مشتت,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0e51f41c,ee02a914,3.7,خطر,14.0,87.59,104.0,5,0,1,93.1,0.176,طريق رئيسي,آمن,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
215bc647,4f6fa7e7,0.0,خطر,35.0,60.03,104.0,444,239,25,19.14,0.411,طريق رئيسي,مشتت,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
d948ca04,bd653979,0.0,خطر,39.0,57.36,104.0,434,164,16,10.51,0.137,طريق رئيسي,متهور,منتصف الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
fa5be9e2,19d8f75c,0.0,خطر,15.0,85.95,153.67,187,117,15,8.78,0.234,طريق سريع,مشتت,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
07f6d530,84bee55b,0.0,خطر,53.0,123.3,138.98,17,0,4,79.87,0.071,طريق سريع,آمن,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
600be227,c326b2f0,9.6,خطر,33.0,62.37,77.51,9,0,3,74.6,0.606,شارع داخلي,آمن,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a8447689,6ce97e65,0.0,خطر,40.0,54.11,92.21,99,31,10,1.0,0.723,طريق رئيسي,معتدل,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
5ff00de9,dfac3e00,0.0,خطر,57.0,45.53,78.0,689,411,35,25.91,0.647,شارع داخلي,مشتت,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
fca590fa,b9a48638,0.0,خطر,10.0,61.03,99.81,35,11,1,6.17,0.869,طريق رئيسي,معتدل,ساعة الذروة المسائية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4ae909cc,12b29793,0.0,خطر,8.0,49.65,94.08,77,31,4,4.17,0.384,طريق رئيسي,متهور,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4f6580b0,5ac84255,0.0,خطر,26.0,90.25,148.68,332,200,21,10.9,0.083,طريق سريع,مشتت,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
feaa5191,b7afe5c7,0.0,خطر,33.0,80.27,144.29,426,242,28,3.08,0.078,طريق سريع,مشتت,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7a65384a,77a27bd5,0.0,خطر,6.0,47.15,90.99,50,19,2,2.5,0.215,طريق رئيسي,متهور,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7ff9b530,36ac8759,9.64,خطر,15.0,96.1,130.15,25,7,1,4.11,0.395,طريق سريع,معتدل,ساعة الذروة الصباحية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c6b1b0e8,0fedbb40,0.0,خطر,59.0,39.58,78.0,155,32,10,4.49,0.96,شارع داخلي,معتدل,ساعة الذروة الصباحية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
aa97be59,7b0635cd,50.49,معتدل,55.0,33.48,52.0,13,0,2,8.39,0.16,حي سكني,آمن,الليل,أمطار غزيرة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
24c3fc75,aba28fc5,0.0,خطر,16.0,60.95,98.08,46,9,5,6.15,0.843,طريق رئيسي,معتدل,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7a221e12,9b7bbe09,0.0,خطر,32.0,34.93,78.0,317,125,14,7.14,0.274,شارع داخلي,متهور,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
5fbd80df,445dc4f2,13.46,خطر,10.0,24.85,52.0,23,7,1,7.0,0.532,حي سكني,معتدل,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
6679680c,99431569,0.0,خطر,44.0,32.33,52.0,411,172,19,33.37,0.099,حي سكني,متهور,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4a037c2c,00046b8c,0.0,خطر,48.0,27.49,52.0,515,173,20,21.74,0.244,حي سكني,متهور,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
e7be102c,a14a5a91,0.0,خطر,45.0,19.49,52.0,446,162,17,8.67,0.301,حي سكني,متهور,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
